B0655+64    9-Jun-14   90000.00   56817.37500000000             8.771158  0.257 -8.510
   3537482342.652047    5.110620788131  aro  300   12   327.000 0.9753   0.9721
  8.03127922456223220e-10 -3.43134241821260342e-03 -1.89039639141319138e-04
 -1.34762654445714143e-08  2.83643830821895875e-10  1.13041476547014526e-14
 -1.70239214927724687e-16 -3.61654203667393475e-21  5.43843241513180030e-23
  8.07777316721770163e-27  1.50301706756451161e-30 -1.29527040928390791e-31
B0655+64    9-Jun-14  140000.00   56817.58333333330             8.771158  0.254 -8.563
   3537574317.623043    5.110620788131  aro  300   12   327.000 0.1778   0.9721
  9.71172175610792582e-10 -9.18083937848353238e-02 -6.47229742072539518e-05
  2.51328684463929427e-07  9.69020842642157926e-11 -2.25439998766868584e-13
 -5.73012754171845478e-17  9.61607411027431001e-20  1.64496586809401478e-23
 -4.30495219046473566e-26  7.15858107213092691e-30  2.28833660991468600e-31
B0655+64    9-Jun-14  190000.00   56817.79166666660             8.771158  0.256 -8.667
   3537666282.432387    5.110620788131  aro  300   12   327.000 0.3803   0.9721
 -2.21593861955606680e-09 -6.17798795448029348e-02  1.51011922494378894e-04
  1.61770189742408863e-07 -2.25710193623391915e-10 -1.45735310740031795e-13
  1.34177742587399409e-16  6.31380121044800385e-20 -4.13124205669668727e-23
 -2.60201982711391182e-26  4.20048286557706454e-30  1.01034458113955874e-31
B0655+64   10-Jun-14       0.00   56818.00000000000             8.771158  0.257 -8.390
   3537758270.957683    5.110620788131  aro  300   12   327.000 0.5829   0.9721
 -1.38032308738371412e-09  4.44225627340249854e-02  1.53930070674146533e-04
 -1.56409502673352311e-07 -2.31054473081581292e-10  1.40378563410821459e-13
  1.39667751046207419e-16 -5.88173624112598431e-20 -4.57287098612756683e-23
 -1.58902536669992536e-26  3.00954318389915296e-31  4.09751308276123413e-31
B0655+64   10-Jun-14   50000.00   56818.20833333330             8.771159  0.254 -8.628
   3537850283.644959    5.110620788131  aro  300   12   327.000 0.7854   0.9721
 -1.87085142684803238e-09  7.69434095574588056e-02 -6.05794912784950754e-05
 -2.53982597792214298e-07  9.12776773376074634e-11  2.29151632312512407e-13
 -5.54806041239347367e-17 -9.98393388619568024e-20  2.07649196341513266e-23
  3.73606868302469878e-26 -3.50830711990071526e-29 -8.97050261835790315e-32
B0655+64   10-Jun-14   90000.00   56818.37500000000             8.771159  0.245 -8.535
   3537923888.520723    5.110620788131  aro  300   12   327.000 0.9474   0.9721
  7.18163906381769079e-10  1.24371300560660019e-02 -1.84504066920738395e-04
 -6.00096134634778123e-08  2.77010944112075358e-10  5.32469334674767355e-14
 -1.66682096885975911e-16 -2.12864859115120814e-20  5.47728470400112547e-23
 -5.44486140304198020e-27 -1.45093807087606678e-29  1.37746462121991641e-31
B0655+64   10-Jun-14  140000.00   56818.58333333330             8.771159  0.243 -8.591
   3538015867.450960    5.110620788131  aro  300   12   327.000 0.1499   0.9721
  1.30444818770454607e-09 -8.48388003035363408e-02 -9.47908803731129169e-05
  2.31569278535628937e-07  1.41875780192553067e-10 -2.07893557197542277e-13
 -8.40014600223260136e-17  8.88771024068755094e-20  2.40563740026163298e-23
 -3.52275335415522295e-26  1.71622877942337744e-29  1.28573919656585550e-31
B0655+64   10-Jun-14  190000.00   56818.79166666660             8.771159  0.244 -8.630
   3538107831.498017    5.110620788131  aro  300   12   327.000 0.3524   0.9721
 -2.08778419888682593e-09 -7.30291831364349858e-02  1.28749610724067804e-04
  1.96496864321613300e-07 -1.92319519579715782e-10 -1.76679138779125656e-13
  1.14109792930831115e-16  7.55375313455275584e-20 -3.42607156322904349e-23
 -1.22668271667222392e-26 -6.10866935965976921e-30 -1.62498424398819378e-31
B0655+64   11-Jun-14       0.00   56819.00000000000             8.771160  0.246 -8.437
   3538199815.766331    5.110620788131  aro  300   12   327.000 0.5550   0.9721
 -4.59161650216179107e-10  3.13270988345513354e-02  1.70918667796410664e-04
 -1.15994997746605164e-07 -2.56438630763126427e-10  1.03771578969129092e-13
  1.54646006050609625e-16 -4.29182061397128570e-20 -4.83932850286720542e-23
 -1.25769195422272886e-26 -3.10772959743634098e-29  3.08652069890015819e-31
B0655+64   11-Jun-14   50000.00   56819.20833333330             8.771160  0.242 -8.620
   3538291826.864649    5.110620788131  aro  300   12   327.000 0.7575   0.9721
 -9.38687947602554265e-10  8.10195967693032038e-02 -2.82880514423717527e-05
 -2.65164191019779843e-07  4.27091308410334990e-11  2.39338706459734844e-13
 -2.59761558351108318e-17 -1.04421827560965195e-19  1.04100457370024310e-23
  3.91132340845985255e-26 -2.39458373962436448e-29 -9.52047385973033284e-32
B0655+64   11-Jun-14   90000.00   56819.37500000000             8.771160  0.233 -8.516
   3538365434.276407    5.110620788131  aro  300   12   327.000 0.9195   0.9721
 -8.42694495781226571e-10  2.76957296562033960e-02 -1.74298782767895618e-04
 -1.04734925940955663e-07  2.61849520238042586e-10  9.36588054606280586e-14
 -1.57915593017508817e-16 -3.89105330590913480e-20  5.22087572076239218e-23
  9.58939308078818246e-28 -1.17340331514936325e-29  9.29922665541399483e-32
B0655+64   11-Jun-14  140000.00   56819.58333333330             8.771160  0.231 -8.621
   3538457417.472980    5.110620788131  aro  300   12   327.000 0.1220   0.9721
  1.46556917675951665e-09 -7.54971815235067206e-02 -1.21960913599279729e-04
  2.04715498377616682e-07  1.82558309225088162e-10 -1.84017248089118031e-13
 -1.08289179068298811e-16  7.93010555078726692e-20  3.26792553860787272e-23
 -4.22604241615477284e-26 -9.71198853958147492e-31  2.83211238640703283e-31
B0655+64   11-Jun-14  190000.00   56819.79166666660             8.771161  0.232 -8.602
   3538549381.520425    5.110620788131  aro  300   12   327.000 0.3245   0.9721
 -2.18998484180065595e-09 -8.22687120625889556e-02  1.02547596908626889e-04
  2.25204893521259278e-07 -1.53082065275605826e-10 -2.02226202177084331e-13
  9.06741685708986752e-17  8.63608015267519942e-20 -2.60102922369681491e-23
 -2.94346235715573972e-26 -2.19487525349066666e-29  6.67044284768771518e-32
B0655+64   12-Jun-14       0.00   56820.00000000000             8.771161  0.234 -8.486
   3538641361.675217    5.110620788131  aro  300   12   327.000 0.5271   0.9721
 -3.38198178229803803e-10  1.70439866923915266e-02  1.82663729525189047e-04
 -7.20326538326937969e-08 -2.73915608854692401e-10  6.40396491636206232e-14
  1.64829256472875880e-16 -2.59010055888453309e-20 -5.22076443331358765e-23
 -5.15738352100942690e-27 -1.46384404724398940e-29  1.47876625201323393e-31
B0655+64   12-Jun-14   50000.00   56820.20833333330             8.771161  0.231 -8.619
   3538733370.505448    5.110620788131  aro  300   12   327.000 0.7296   0.9721
 -1.43595089470297324e-09  8.23856283798810179e-02  4.88383054373939548e-06
 -2.68187230157151272e-07 -7.19621443600692468e-12  2.42086038350729881e-13
  4.36869839935473339e-18 -1.05434800092011863e-19 -9.45169710269156499e-26
  3.07581698903950865e-26 -1.70058739712983801e-29  3.67661435655067199e-32
B0655+64   12-Jun-14   90000.00   56820.37500000000             8.771161  0.222 -8.470
   3538806979.956210    5.110620788131  aro  300   12   327.000 0.8916   0.9721
 -9.60491947804044399e-10  4.18875779015200345e-02 -1.58734388557671798e-04
 -1.46276296128976589e-07  2.38608860859879636e-10  1.31273272564842227e-13
 -1.44210777642053031e-16 -5.52036049223545328e-20  4.85544833444655981e-23
 -3.29300132603271625e-27 -1.89618876740093968e-29  2.09310264264722078e-31
B0655+64   12-Jun-14  140000.00   56820.58333333330             8.771162  0.219 -8.659
   3538898967.598878    5.110620788131  aro  300   12   327.000 0.0941   0.9721
  7.27445461181676356e-10 -6.40582673507698597e-02 -1.45402234274766864e-04
  1.71581528536077454e-07  2.17710293113408270e-10 -1.54503427995332429e-13
 -1.29394199865921134e-16  6.70611860255515267e-20  3.99272450247195657e-23
 -3.76139430114279999e-26 -8.42515497434185978e-30  2.78165685418759026e-31
B0655+64   12-Jun-14  190000.00   56820.79166666660             8.771162  0.221 -8.573
   3538990932.412561    5.110620788131  aro  300   12   327.000 0.2966   0.9721
 -1.97178915735266372e-09 -8.92054986408958028e-02  7.32081693211814055e-05
  2.47025174887063432e-07 -1.09195079270648783e-10 -2.21617203289230990e-13
  6.45993459137682896e-17  9.41446795411653925e-20 -1.80064754592864332e-23
 -2.48910441837040152e-26 -2.18780470671045040e-29 -4.13443787782504690e-32
B0655+64   13-Jun-14       0.00   56821.00000000000             8.771162  0.222 -8.522
   3539082908.726489    5.110620788131  aro  300   12   327.000 0.4992   0.9721
 -6.22271288316933457e-11  2.02248988228962865e-03  1.88808919541430168e-04
 -2.58760249949677749e-08 -2.82966628473673913e-10  2.24207649305919456e-14
  1.69873984334121385e-16 -8.09911320675020502e-21 -5.36501901953750735e-23
 -1.83888957864118719e-27 -8.94654629697814725e-30  3.12281553885533200e-32
B0655+64   13-Jun-14   50000.00   56821.20833333330             8.771162  0.219 -8.628
   3539174914.682559    5.110620788131  aro  300   12   327.000 0.7017   0.9721
 -1.18687722844290633e-09  8.10110103601459769e-02  3.79164381821204242e-05
