1810+17    23-Jul-13  180000.00   56496.75000000000            39.659352  0.336 -2.842
  50234460204.770564  601.411516081674  aro  300   12   150.000 0.1265   6.7490
 -2.01493758388425481e-03 -2.52039777978770774e+00 -1.57113025323876269e-02
  1.88783854439543517e-04  1.13576467606522066e-06 -8.18737878376744647e-09
 -3.23349436158282404e-11  1.67905749151887622e-13  4.61601459831730131e-16
 -1.90956744663329582e-18 -3.01437816253849456e-21  1.07202995333642159e-23
1810+17    23-Jul-13  230000.00   56496.95833333330            39.659352  0.336 -2.693
  50245285158.260555  601.411516081674  aro  300   12   150.000 0.5325   6.7490
  2.92978219318636157e-03 -7.24445031562174435e-01  2.37439631285517386e-02
 -7.06409049209545231e-05 -1.71444515665509418e-06  3.04555549040114325e-09
  4.87707334124415526e-11 -6.16768105042581690e-14 -6.94992772091313818e-16
  6.79970090929880671e-19  4.52447751956999053e-21 -3.61036514897487552e-24
1810+17    24-Jul-13   40000.00   56497.16666666660            39.659352  0.350 -2.639
  50256110304.784861  601.411516081674  aro  300   12   150.000 0.9386   6.7490
 -3.36417674416870927e-03 -7.67003425873963085e-01 -2.38688427199395849e-02
 -7.15068500866949551e-05  1.71500597376297028e-06  3.10280265619076497e-09
 -4.89229833266214872e-11 -6.37516867221509828e-14  7.01963106415747668e-16
  7.28353010594940773e-19 -4.62426668927548631e-21 -4.12094996551477463e-24
1810+17    24-Jul-13   90000.00   56497.37500000000            39.659352  0.360 -2.834
  50266935235.629086  601.411516081674  aro  300   12   150.000 0.3446   6.7490
  2.11103888179404661e-03 -2.60999182763190785e+00  1.56702985927002006e-02
  1.89331684381715491e-04 -1.13121219315777020e-06 -8.17759344131879484e-09
  3.22366236344931659e-11  1.66109729332306763e-13 -4.61346359251032143e-16
 -1.84526499839722171e-18  3.02572333052589840e-21  9.93641667315348982e-24
1810+17    24-Jul-13  140000.00   56497.58333333330            39.659352  0.356 -3.372
  50277760295.716131  601.411516081674  aro  300   12   150.000 0.7507   6.7490
 -4.57116066483916061e-05  3.99150268797729857e-01 -2.22095300382551967e-03
 -2.43012932209029964e-04  1.63580413632931528e-07  1.05235710864077196e-08
 -4.58019935223779805e-12 -2.14992877466627110e-13  6.26764782227343026e-17
  2.42242634383767960e-18 -3.78659018634516375e-22 -1.33811365738322204e-23
1810+17    24-Jul-13  173000.00   56497.72916666660            39.659352  0.348 -3.350
  50285337808.626707  601.411516081674  aro  300   12   150.000 0.7347   6.7490
  2.86979913285243904e-04  4.33119909143795501e-01  2.35188622604254202e-04
 -2.44126339071758708e-04 -1.42063136361667160e-08  1.05648495582452088e-08
  4.86959806574495489e-13 -2.15674112903366800e-13 -9.85115341537577761e-18
  2.42566449617507012e-18  9.71258148542854945e-23 -1.33558275676457377e-23
1810+17    24-Jul-13  223000.00   56497.93749999990            39.659352  0.346 -2.898
  50296162874.168800  601.411516081674  aro  300   12   150.000 0.1407   6.7490
 -1.73725488886340707e-03 -2.64639377314552071e+00 -1.40295669329464339e-02
  2.01733348140446648e-04  1.00812128016856256e-06 -8.74859791208879995e-09
 -2.86805779790406446e-11  1.79313519379393576e-13  4.08865201495347478e-16
 -2.03649042184164322e-18 -2.66359644381487344e-21  1.14056995356043122e-23
1810+17    25-Jul-13   33000.00   56498.14583333320            39.659352  0.359 -2.703
  50306987814.869813  601.411516081674  aro  300   12   150.000 0.5467   6.7490
  2.86414830290417088e-03 -6.66087034487482299e-01  2.29668130672660425e-02
 -9.09687189836441197e-05 -1.66172793794937435e-06  3.92865321654148998e-09
  4.72808960408468935e-11 -7.95964548628970323e-14 -6.74030459308301362e-16
  8.78453042737125999e-19  4.39106073508525882e-21 -4.67342033392531780e-24
1810+17    25-Jul-13   83000.00   56498.35416666660            39.659352  0.371 -2.628
  50317812935.365829  601.411516081674  aro  300   12   150.000 0.9528   6.7490
 -3.45742043414713068e-03 -9.88490647210588103e-01 -2.43560531919530671e-02
 -5.04027965893349099e-05  1.75481102213455868e-06  2.19121543431200890e-09
 -5.00661460792752382e-11 -4.50169722854871172e-14  7.18529516580507033e-16
  5.14128012027498108e-19 -4.73525189341255458e-21 -2.90711576900455487e-24
1810+17    25-Jul-13  133000.00   56498.56249999990            39.659352  0.367 -2.801
  50328637845.685930  601.411516081674  aro  300   12   150.000 0.3588   6.7490
  2.28196168847818667e-03 -2.53559811673647495e+00  1.73975854935701224e-02
  1.74848855735219356e-04 -1.24998918892032147e-06 -7.55343356873629097e-09
  3.56013842976158776e-11  1.53362033885366156e-13 -5.08940140544431976e-16
 -1.70169496235104736e-18  3.33156727466616814e-21  9.14396805056072495e-24
1810+17    25-Jul-13  173000.00   56498.72916666660            39.659352  0.359 -2.680
  50337297839.847377  601.411516081674  aro  300   12   150.000 0.4834   6.7490
  3.01738205412566823e-03 -1.31994286919969528e+00  2.49049868152342938e-02
  3.58149514921126528e-06 -1.79074359219943371e-06 -1.58217242289031894e-10
