0814+7429  18-Jan-14  143000.00   56675.60416666660             6.116057  0.144 -9.979
    502364111.346184    0.773849192369 lofar 300   12   150.000                
 -1.16348780284343191e-10 -6.72210062978596421e-04  3.42858391109408616e-09
 -2.29756130717502976e-11 -3.20811509979126000e-14  2.19419812089777472e-17
  2.17380984679270116e-20 -3.07816727994832270e-24 -7.25041817142806065e-26
 -3.19661847247380268e-28  1.17176993962317680e-30  5.38765928069860029e-33
0814+7429  18-Jan-14  193000.00   56675.81249999990             6.116057  0.145 -10.032
    502378040.429475    0.773849192369 lofar 300   12   150.000                
 -8.34933762625997278e-11 -6.78692022298316351e-04 -2.67697903045067994e-08
 -3.42057010319631286e-11  1.61529992025800664e-14  3.33094223836693061e-17
 -1.29413990627507529e-20 -7.03928910657380555e-23  1.09101757101456217e-25
  2.34508111230783337e-27 -1.47477083182183328e-30 -3.51976897712751407e-32
0814+7429  19-Jan-14    3000.00   56676.02083333320             6.116057  0.150 -10.015
    502391969.508195    0.773849192369 lofar 300   12   150.000                
  4.45290449153614692e-12 -7.01138672335991698e-04 -4.19138949931066178e-08
  5.52854892137466699e-12  4.03088566790495408e-14 -5.01672786688165805e-18
 -2.60402660530291268e-20 -6.02832065909862160e-24  2.52817762482877407e-26
 -1.52495730861930712e-28 -2.88760183697208219e-31  8.19552509925810424e-33
0814+7429  19-Jan-14   53000.00   56676.22916666660             6.116057  0.154 -10.048
    502405898.579994    0.773849192369 lofar 300   12   150.000                
 -8.14892135755720442e-11 -7.21002468699820051e-04 -1.94289735823877759e-08
  3.70515513903155774e-11  4.44266416287441304e-15 -3.54505959764023788e-17
 -1.29215328706220984e-21  1.93992815772991229e-23 -6.19629143048825282e-26
 -2.91725172201370393e-28  9.78783080171323138e-31  6.64072624020398980e-33
0814+7429  19-Jan-14  103000.00   56676.43749999990             6.116057  0.155 -10.062
    502419827.648357    0.773849192369 lofar 300   12   150.000                
 -6.94333950354154937e-11 -7.23569811183653205e-04  7.21964232482243164e-09
  1.34137234158658632e-11 -3.80303731624620086e-14 -1.25419930477491500e-17
  2.47212193711463491e-20 -1.59876856526456541e-23 -3.57762714532428576e-26
  7.97386063708072080e-28  5.31714925428581001e-31 -1.08518051611891995e-32
0814+7429  19-Jan-14  143000.00   56676.60416666660             6.116057  0.154 -10.040
    502430970.903542    0.773849192369 lofar 300   12   150.000                
 -1.00643920911932571e-10 -7.19981136942903052e-04  3.22276870514040269e-09
 -2.34760473248707995e-11 -3.16602214887274069e-14  2.24820324916842888e-17
  2.25791146214355759e-20 -6.13803712072054529e-24 -1.00506843945557705e-25
 -3.30054339847486227e-28  1.34666307062847883e-30  7.40084530043852609e-33
0814+7429  19-Jan-14  193000.00   56676.81249999990             6.116057  0.156 -10.102
    502444899.972475    0.773849192369 lofar 300   12   150.000                
 -1.23034801177228577e-10 -7.26659976840819547e-04 -2.71027734219557112e-08
 -3.39449977582098831e-11  1.67843653537791931e-14  3.26788352949792903e-17
 -1.22282054739607176e-20 -2.88568567289582109e-23  6.10910552948856094e-26
  5.18888395644385848e-28 -7.83936634517742620e-31 -6.84497059817051389e-33
0814+7429  20-Jan-14    3000.00   56677.02083333320             6.116057  0.161 -10.061
    502458829.036786    0.773849192369 lofar 300   12   150.000                
  3.55151727153933328e-11 -7.49182293945901403e-04 -4.17753565945353071e-08
  6.16342850052385540e-12  4.02134690795919948e-14 -5.75131322878732501e-18
 -2.73350342201091256e-20 -1.78795045215315766e-24  8.19896237964313175e-26
 -8.26351833738100365e-29 -1.15914714009406478e-30  4.45207476119023086e-33
0814+7429  20-Jan-14   53000.00   56677.22916666660             6.116057  0.165 -9.984
    502472758.094198    0.773849192369 lofar 300   12   150.000                
 -1.73087509464730331e-10 -7.68825893293445723e-04 -1.89214395605392784e-08
  3.71174785784404504e-11  3.74699829160741045e-15 -3.56645714228288482e-17
 -5.87720283761344885e-22  3.16757998627089114e-23 -8.83604642302011141e-26
 -7.04533613744689365e-28  1.54715333365821485e-30  1.14696200946223540e-32
0814+7429  20-Jan-14  103000.00   56677.43749999990             6.116057  0.165 -10.074
    502486687.148256    0.773849192369 lofar 300   12   150.000                
 -1.15038338972676106e-10 -7.71142561448670701e-04  7.44506230323256460e-09
  1.28144329307082971e-11 -3.82915785307331405e-14 -1.18670419312911623e-17
  2.63835381082896333e-20 -2.81850267026870879e-23 -9.43998038491569298e-26
  1.30962841061688583e-27  1.30337134383945171e-30 -1.86003964120798659e-32
0814+7429  20-Jan-14  143000.00   56677.60416666660             6.116057  0.164 -9.992
    502497830.392028    0.773849192369 lofar 300   12   150.000                
 -1.07278116038186575e-10 -7.67552964071980788e-04  3.01413599175213834e-09
 -2.39699893702565911e-11 -3.11953161868134513e-14  2.32509343128722148e-17
  2.09199049545278788e-20 -3.74448966934502283e-23 -5.72784431500644333e-26
  1.02316773342618717e-27  8.78269263703462261e-31 -1.37204113099473948e-32
0814+7429  20-Jan-14  193000.00   56677.81249999990             6.116057  0.166 -10.017
    502511759.446662    0.773849192369 lofar 300   12   150.000                
 -1.18215559345817287e-10 -7.74427703089731567e-04 -2.74294176900931352e-08
 -3.36767947471545179e-11  1.74302477823356412e-14  3.26852127176146085e-17
 -1.41704828332972231e-20 -4.83148972752701524e-23  1.49268237104243134e-25
  1.18435379925516274e-27 -2.42902602984486317e-30 -1.54483167303514357e-32
0814+7429  21-Jan-14    3000.00   56678.02083333320             6.116057  0.171 -10.131
    502525688.496625    0.773849192369 lofar 300   12   150.000                
 -5.14322788243041246e-12 -7.97019986522088351e-04 -4.16258863276074641e-08
  6.79451466207090143e-12  4.00759227973579030e-14 -6.17814029591768227e-18
 -2.62578806596090934e-20 -1.72259538805287033e-23  5.61842898958340628e-26
  5.30282556386733790e-28 -9.54970142531585815e-31 -4.15648512185846080e-33
0814+7429  21-Jan-14   53000.00   56678.22916666660             6.116057  0.175 -10.034
    502539617.539714    0.773849192369 lofar 300   12   150.000                
 -1.36001140339779385e-10 -8.16438508329718439e-04 -1.84098078429223812e-08
  3.71679102513263129e-11  3.04293944073902206e-15 -3.48962206195561881e-17
  7.87758016037743946e-22 -4.31471779302720737e-23 -1.47062906633876678e-25
  2.31501673065253658e-27  2.74256116148321986e-30 -3.29088906391244884e-32
0814+7429  21-Jan-14  103000.00   56678.43749999990             6.116057  0.175 -10.169
    502553546.579530    0.773849192369 lofar 300   12   150.000                
 -1.39027382330076379e-10 -8.18504720723345542e-04  7.66673856604303428e-09
  1.22110212687350533e-11 -3.85065981889248711e-14 -1.12418452686505927e-17
  2.36381723920752536e-20 -3.45529207040848961e-23  5.51829243538207360e-26
  1.70910981943999425e-27 -1.27547350000177413e-30 -2.71524165604552560e-32
0814+7429  21-Jan-14  140000.00   56678.58333333330             6.116057  0.175 -10.038
    502563296.907846    0.773849192369 lofar 300   12   150.000                
  1.30762158056463647e-10 -8.15146775229362466e-04  4.83209450535441972e-09
 -2.05672251357765670e-11 -3.39622366124318255e-14  1.97836779511995103e-17
  2.09679920888016101e-20 -1.79371227464631468e-23  3.24605439042305871e-26
  3.32607559404281918e-28 -8.29704119649584396e-31 -3.87814597135025117e-33
0814+7429  21-Jan-14  190000.00   56678.79166666660             6.116057  0.176  -10.009
    502577225.948428    0.773849192369 lofar 300   12   150.000                
 -9.15481618906013528e-11 -8.20412439579257832e-04 -2.46551158477584624e-08
 -3.52673533926511420e-11  1.31097017330995107e-14  3.41864254741949246e-17
 -9.97185679943946510e-21 -4.66085261728855486e-23  7.74116493716793617e-26
  1.05032740651416576e-27 -1.19473206271515789e-30 -1.28915332063323019e-32
0814+7429  21-Jan-14       0.00   56678.99999999990             6.116057  0.181 -10.039
    502591154.984773    0.773849192369 lofar 300   12   150.000                
  6.05346213064423398e-11 -8.42138139991348137e-04 -4.19166930068771751e-08
  2.58251515106003621e-12  4.06751204641655466e-14 -2.19051163408715370e-18
 -2.76581596842907175e-20 -2.94157776598113607e-23  8.03950851533840678e-26
  1.48277479458718711e-27 -1.07310605772904058e-30 -2.50823440343394177e-32
0814+7429  22-Jan-14   50000.00   56679.20833333330             6.116057  0.185 -10.043
    502605084.014201    0.773849192369 lofar 300   12   150.000                
  7.26145965359558182e-11 -8.62656538922228515e-04 -2.12209925484913304e-08
  3.66106508141985142e-11  7.67460475796291940e-15 -3.47524255035807159e-17
 -5.83984424086192870e-21 -1.00804058504785788e-23  5.58914858060155511e-26
  9.86094347144208446e-28 -1.00291242165900719e-30 -1.31258797579650060e-32
0814+7429  22-Jan-14  100000.00   56679.41666666660             6.116057  0.186 -9.990
    502619013.039920    0.773849192369 lofar 300   12   150.000                
 -2.71919703192301675e-11 -8.66083753403192936e-04  6.63455399847883930e-09
  1.61417852650015829e-11 -3.67539991247906330e-14 -1.55226899677189336e-17
  2.48745884436546739e-20  1.70930521354835232e-23 -7.21336131934367556e-26
 -4.52663789893645334e-28  1.01654906861937153e-30  7.28174713375326491e-33
0814+7429  22-Jan-14  140000.00   56679.58333333330             6.116057  0.185 -10.006
    502630156.260908    0.773849192369 lofar 300   12   150.000                
  1.06499838227673829e-10 -8.62279198402488749e-04  4.66481202510158602e-09
 -2.10981916591073086e-11 -3.35808813350647754e-14  2.03699501508128178e-17
  2.12972691878078323e-20 -2.09016178605200017e-23  2.21816857445267653e-26
  3.67595338941255160e-28 -8.10999069778591867e-31 -4.03259040939256373e-33
0814+7429  22-Jan-14  190000.00   56679.79166666660             6.116057  0.186 -10.145
    502644085.287325    0.773849192369 lofar 300   12   150.000                
 -8.48242890691711806e-11 -8.67730083618435569e-04 -2.49903768553071074e-08
 -3.50566624673292177e-11  1.37443880865447108e-14  3.42702856095052908e-17
 -7.46033633292689987e-21 -6.93313362922070951e-23 -5.14135619882443940e-26
  1.87244604388970324e-27  7.76818690398513564e-31 -2.39012551181973400e-32
0814+7429  22-Jan-14       0.00   56679.99999999990             6.116057  0.191 -9.995
    502658014.309455    0.773849192369 lofar 300   12   150.000                
 -9.05701605144897124e-11 -8.89541851988943141e-04 -4.18020621031431219e-08
  3.22209837839283683e-12  4.05974459370659685e-14 -2.76509106149791309e-18
 -2.54409888026204895e-20 -2.53850832338587991e-23 -9.56509144703468815e-27
  1.02290748972640343e-27  2.82836253220805490e-31 -1.40500531003364538e-32
0814+7429  23-Jan-14   50000.00   56680.20833333330             6.116057  0.195 -9.950
    502671943.324688    0.773849192369 lofar 300   12   150.000                
  8.16922737349044451e-11 -9.09847543978966342e-04 -2.07074990442953216e-08
  3.67277224702283472e-11  6.98877483386620580e-15 -3.51870792836078884e-17
 -5.33610620477627733e-21  2.33719369204750073e-23  4.24377205818830835e-26
 -4.64387629446449459e-28 -6.96652213289401652e-31  9.44968925136871691e-33
0814+7429  23-Jan-14  100000.00   56680.41666666660             6.116058  0.196 -9.993
    502685872.336293    0.773849192369 lofar 300   12   150.000                
 -3.55257514399374712e-11 -9.13007860194116317e-04  6.90310007910249644e-09
  1.55628854266755189e-11 -3.70114147375352001e-14 -1.50952883638196695e-17
  2.14589693975847765e-20  3.52886748633456016e-23  6.65268867291481863e-26
 -1.47144694367014974e-27 -9.16151514202383475e-31  2.60007543515296292e-32
