1136+1551  18-Jan-14  133000.00   56675.56250000000             4.864056 -0.767 -9.535
    746858471.136389    0.841812442909 gmrt  300   12   150.000                
 -7.82502543594307259e-11  3.73388245470475345e-03  9.97301892024055019e-08
 -1.47011469538378237e-10 -1.89913236825197170e-13  1.40130552115660701e-16
  1.17437895882653199e-19 -2.52301220949896420e-23  1.34267369941821435e-25
 -1.28849689676777848e-27 -2.93717374438849376e-30  1.60178565455373435e-32
1136+1551  18-Jan-14  183000.00   56675.77083333330             4.864056 -0.768 -9.833
    746873624.884405    0.841812442909 gmrt  300   12   150.000                
 -8.46248814645483876e-11  3.74058705649288293e-03 -8.64184586453714031e-08
 -2.05509468920130872e-10  1.06845865209161105e-13  1.96639302738916981e-16
 -6.56037445993112563e-20 -7.19017841311748885e-23 -8.11025293951944460e-26
 -1.33136685592055801e-27  1.51810674820941735e-30  2.73879877292384332e-32
1136+1551  18-Jan-14  233000.00   56675.97916666660             4.864056 -0.751 -9.788
    746888778.618501    0.841812442909 gmrt  300   12   150.000                
 -9.56702470731285416e-11  3.65135598779572738e-03 -1.72792313309693166e-07
  4.19187975083342547e-11  2.44515557177576188e-13 -3.94576179432778186e-17
 -1.54386018133619218e-19 -5.03632026945028691e-23 -1.11110232143608694e-26
  2.79442982088398510e-27  8.01379994554428135e-31 -4.21863609085032712e-32
1136+1551  19-Jan-14   43000.00   56676.18750000000             4.864056 -0.737 -9.558
    746903932.325242    0.841812442909 gmrt  300   12   150.000                
 -7.90113811805729165e-11  3.58168709162712522e-03 -3.08780109242525108e-08
  2.26784998890711180e-10  1.80461687315293045e-14 -2.17635548188408502e-16
 -1.49893700687975847e-20  1.35465822050830674e-22  1.53854508388229735e-25
 -1.17644149459902909e-27 -2.33430708891756705e-30  1.28408018044918750e-32
1136+1551  19-Jan-14   93000.00   56676.39583333330             4.864056 -0.744 -9.805
    746919086.026694    0.841812442909 gmrt  300   12   150.000                
 -1.18662704812774323e-10  3.61787117083411979e-03  1.27851122594921707e-07
  7.37610734012427662e-11 -2.35334254120467842e-13 -7.05316550995283810e-17
  1.49933910827000418e-19  2.77860267477146236e-23 -3.03307020743688396e-26
 -8.47761470232520911e-29 -4.22981933675776072e-31  3.51504060791867235e-33
1136+1551  19-Jan-14  133000.00   56676.56250000000             4.864056 -0.756 -9.533
    746931209.001739    0.841812442909 gmrt  300   12   150.000                
  7.68426372861660863e-11  3.67854142633861243e-03  9.75857987627683953e-08
 -1.49975922829496221e-10 -1.87095962277184909e-13  1.43039402509865359e-16
  1.13372072956537847e-19 -3.99808840951776033e-23  2.15555033928753223e-25
 -5.24548410308492081e-28 -3.87008342373439716e-30  1.96262737715907695e-33
1136+1551  19-Jan-14  183000.00   56676.77083333330             4.864056 -0.757 -9.817
    746946362.732908    0.841812442909 gmrt  300   12   150.000                
 -3.37386717816068316e-11  3.68354416160728742e-03 -8.92246957429706073e-08
 -2.03797925435655861e-10  1.10711715053935672e-13  1.95038317753022641e-16
 -6.97171740695058559e-20 -8.06989018595540779e-23 -9.99048436261867458e-27
 -7.27681185283842528e-28  4.11375609541147588e-31  1.57210370399737041e-32
1136+1551  19-Jan-14  233000.00   56676.97916666660             4.864056 -0.739 -9.799
    746961516.449710    0.841812442909 gmrt  300   12   150.000                
 -6.23555177098541888e-11  3.59341013061371169e-03 -1.72667398973351032e-07
  4.57589627435932433e-11  2.43715332086038298e-13 -4.34774825772291344e-17
 -1.56458775789960120e-19 -7.81667592595175938e-24  9.40204262147642377e-26
  8.52724866845825142e-28 -6.96876280167316119e-31 -1.00507529450701823e-32
1136+1551  20-Jan-14   43000.00   56677.18750000000             4.864056 -0.726 -9.545
    746976670.139168    0.841812442909 gmrt  300   12   150.000                
 -1.73233791118299756e-10  3.52463038267187591e-03 -2.85937558155735935e-08
  2.27036096228269454e-10  1.37743729402764398e-14 -2.18228871926579058e-16
 -1.18123859859330368e-20  1.70925245831629649e-22  1.19310151592106851e-25
 -2.69633653932198851e-27 -1.61399521555047828e-30  3.64826706102349291e-32
1136+1551  20-Jan-14   93000.00   56677.39583333330             4.864056 -0.733 -9.830
    746991823.823681    0.841812442909 gmrt  300   12   150.000                
 -1.95496680587884803e-10  3.56182018767981293e-03  1.28307333530970917e-07
  7.00500242570745196e-11 -2.36692551848382266e-13 -6.71269972487210829e-17
  1.51288545357567426e-19  4.62945344291811131e-23 -5.02369309324270663e-26
 -1.09549692458226902e-27 -1.99002113286488803e-31  2.05654695245131129e-32
1136+1551  20-Jan-14  130000.00   56677.54166666660             4.864056 -0.744 -9.547
    747002431.414274    0.841812442909 gmrt  300   12   150.000                
 -2.46273404288030332e-10  3.61593721210649605e-03  1.08135645948635415e-07
 -1.29528410218570551e-10 -2.04553420743538826e-13  1.23328814400807723e-16
