1012+5307  18-Jan-14  163000.00   56675.68750000000             9.007278 -0.211 -7.201
 122573401388.269638  190.267837701386 lofar 300   12   150.000 0.5353   1.6538
 -2.19118121893430162e-08  8.53125458849392393e-01  1.85888578352567707e-03
 -5.32399486992084774e-06 -8.06417112218459548e-09  1.38431216260037536e-11
  1.40114637440648630e-14 -1.71566787255507952e-17 -1.30853869619065163e-20
  1.20838456835762604e-23  6.69519637298465625e-27 -1.17296098198535227e-30
1012+5307  18-Jan-14  213000.00   56675.89583333330             9.007278 -0.210 -7.516
 122576826463.034143  190.267837701386 lofar 300   12   150.000 0.8798   1.6538
 -3.26439683270840497e-08  3.22853618051486546e-01 -2.87775248610682832e-03
 -7.37555056645712122e-07  1.24501229116328925e-08  1.87507409431800181e-12
 -2.16071088169238294e-14 -2.23091801373047446e-18  2.01103217570014159e-20
  1.02202302489992035e-24 -1.15307890634367818e-26  5.66771478976527344e-30
1012+5307  19-Jan-14   23000.00   56676.10416666660             9.007278 -0.201 -7.648
 122580251192.497968  190.267837701386 lofar 300   12   150.000 0.2244   1.6538
 -1.64570279599998703e-08 -4.75045185592328778e-01  1.33678769789110871e-03
  6.11977349573066622e-06 -5.85757888499056461e-09 -1.59201964912501985e-11
  1.01618743494436286e-14  1.96936065818761927e-17 -9.32137407901484766e-21
 -1.39771406096955832e-23  4.65011254249878034e-27  3.52392529017389724e-30
1012+5307  19-Jan-14   73000.00   56676.31250000000             9.007278 -0.194 -7.201
 122583676081.341617  190.267837701386 lofar 300   12   150.000 0.5689   1.6538
 -1.78090701907773763e-08  9.27344722613415606e-01  1.34213402381617758e-03
 -6.10810508246443878e-06 -5.85463298716433052e-09  1.59451638568240192e-11
  1.01924212822200690e-14 -1.98168179405895275e-17 -9.55032587997828742e-21
  1.41337166343012606e-23  5.16172008890729123e-27 -2.70132315258968604e-30
1012+5307  19-Jan-14  123000.00   56676.52083333330             9.007278 -0.195 -7.548
 122587101130.592113  190.267837701386 lofar 300   12   150.000 0.9135   1.6538
 -2.74058039092389683e-08  1.36776714552941908e-01 -2.85767809940358367e-03
  7.50796117180345354e-07  1.24128664271827188e-08 -1.95742511560825240e-12
 -2.15610526806337534e-14  2.50337417721964893e-18  2.00335298139676937e-20
 -2.49669962087028641e-24 -1.14885238987061829e-26  8.84696274884083206e-30
1012+5307  19-Jan-14  163000.00   56676.68750000000             9.007278 -0.198 -7.502
 122589840901.885223  190.267837701386 lofar 300   12   150.000 0.1891   1.6538
  2.97345795164868920e-08 -5.44072301155218430e-01  7.69370409248501422e-04
  6.67013315430719395e-06 -3.32922989038772128e-09 -1.73759378611685490e-11
  5.74140189842171911e-15  2.14882334082103645e-17 -5.26096971772614702e-21
 -1.52805347574909826e-23  2.83068224633320231e-27  6.46128875763488525e-30
1012+5307  19-Jan-14  213000.00   56676.89583333330             9.007277 -0.197 -7.507
 122593265748.154620  190.267837701386 lofar 300   12   150.000 0.5337   1.6538
 -2.62000657315353269e-08  8.31287064412642551e-01  1.86448528889661728e-03
 -5.28357713660266625e-06 -8.13505234785700734e-09  1.37284915862871233e-11
  1.41657398706023566e-14 -1.70236286535696063e-17 -1.33058834935210786e-20
  1.24113891221522477e-23  7.81949463353064814e-27 -5.61593962047664529e-30
1012+5307  20-Jan-14   23000.00   56677.10416666660             9.007277 -0.188 -7.549
 122596690817.241863  190.267837701386 lofar 300   12   150.000 0.8782   1.6538
  1.02726763206995031e-09  3.05652510928126897e-01 -2.88262682553373090e-03
 -7.85894916753178253e-07  1.24490252063303695e-08  2.03807940717801990e-12
 -2.15925092658480361e-14 -2.46895803319561530e-18  2.01384853017686129e-20
  1.95905654055360006e-24 -1.22730678437371997e-26 -5.65595883549440203e-30
1012+5307  20-Jan-14   73000.00   56677.31250000000             9.007277 -0.181 -7.426
 122600115540.155276  190.267837701386 lofar 300   12   150.000 0.2227   1.6538
  7.93948481247336302e-08 -5.02575650391426043e-01  1.32336262820850455e-03
  6.17001500892449541e-06 -5.76431953523814520e-09 -1.60225796741339164e-11
  9.97779154343895282e-15  1.98140357709884503e-17 -9.14159483547256549e-21
 -1.44068634271581835e-23  4.49741246674914351e-27  9.35980241452461988e-30
1012+5307  20-Jan-14  123000.00   56677.52083333330             9.007277 -0.182 -7.545
 122603540421.293304  190.267837701386 lofar 300   12   150.000 0.5673   1.6538
 -9.10037139222052982e-09  9.09393575417264621e-01  1.38283280560942755e-03
 -6.08807778326961459e-06 -5.99132672751704280e-09  1.58701646540391413e-11
  1.04048226976394612e-14 -1.97055212857280801e-17 -9.74906212569294585e-21
  1.36311650342609373e-23  5.36231236946497275e-27  5.29842802744450918e-30
